Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Xin Zhao,326,165,85%,163,163,50%,2.7,5.3,32:55:00,5.4,297,326,-2.2,-115,-99
Caitlyn,84,381,81%,44,40,52%,3.9,3.8,33:25:00,9.2,513,439,7.3,481,22
Jinx,293,147,76%,161,132,55%,4.5,4.5,32:40:00,9.6,544,444,1,54,-60
Corki,201,224,74%,118,83,59%,4.3,5.2,33:33:00,9.1,720,444,-0.8,88,-121
Lee Sin,209,184,68%,104,105,50%,3.3,4.1,32:50:00,5.5,253,332,-0.5,31,-7
Thresh,154,233,67%,86,68,56%,3.4,4.8,33:16:00,1.1,102,235,3.3,10,-25
Gwen,196,185,66%,100,96,51%,2.8,6.5,32:25:00,8.3,479,400,1.8,76,42
LeBlanc,77,281,62%,34,43,44%,4.3,5.1,32:47:00,7.9,529,377,4,81,172
Twisted Fate,41,315,62%,28,13,68%,5.6,3.8,33:57:00,7.9,436,415,-7.1,475,-81
Viktor,229,126,62%,112,117,49%,3.4,6.7,32:42:00,8.8,647,399,2.1,-128,62
Renekton,104,243,60%,51,53,49%,2.6,4,32:29:00,8,360,380,7.5,448,161
Aphelios,245,78,56%,113,132,46%,3.2,5.2,32:43:00,9.2,485,429,1.1,94,-45
Diana,72,241,54%,40,32,56%,3.1,3.8,31:55:00,6.7,406,379,13,419,509
Jhin,225,58,49%,115,110,51%,6,6.8,33:29:00,8.8,475,413,-2.9,-303,62
Akali,92,180,47%,48,44,52%,3.1,5.2,32:37:00,7.6,477,377,-8.3,-293,-78
Jarvan IV,142,130,47%,75,67,53%,3.6,5.6,32:39:00,5.1,251,327,-3.6,-33,-87
Karma,102,165,46%,43,59,42%,3.6,4.7,33:01:00,1.3,240,245,-9.2,93,37
Vex,100,164,46%,47,53,47%,3.7,6.3,32:48:00,7.8,480,375,-3.8,-60,-114
Viego,182,72,44%,87,95,48%,3.4,5.3,32:45:00,5.7,275,345,0.3,6,-20
Leona,186,63,43%,93,93,50%,2.3,7.9,32:59:00,1.2,110,230,3.9,-23,-71
Nautilus,165,73,41%,85,80,52%,2.2,8,32:49:00,1.1,138,230,4.6,-67,-112
Lulu,112,120,40%,58,54,52%,4.8,6.5,32:11:00,0.9,97,235,-1.9,40,174
Syndra,86,135,38%,33,53,38%,2.6,6.9,32:49:00,8.3,511,379,4.5,-20,-31
Gragas,151,64,37%,62,89,41%,2.4,7.4,33:10:00,6.5,360,325,-13.7,-572,-223
Jayce,74,140,37%,43,31,58%,2.6,7.5,33:24:00,8.4,661,421,9.1,140,-115
Rakan,135,58,34%,61,74,45%,3.3,8,32:38:00,1.2,138,234,3.3,-54,-109
Camille,61,96,27%,31,30,51%,2.4,7.6,32:21:00,7.6,400,380,-6.4,-366,-125
Yuumi,42,96,24%,16,26,38%,4.3,4.8,32:54:00,0.3,264,224,-9.3,-389,-227
Graves,83,51,23%,38,45,46%,2.7,7.3,32:23:00,9.2,501,416,7.3,201,208
Ornn,86,40,22%,52,34,60%,4,7.7,32:49:00,6.8,377,339,-8.5,-300,-45
Ezreal,93,32,22%,38,55,41%,3.2,7.9,32:20:00,9,638,419,-2.4,-104,-51
Tryndamere,40,83,21%,22,18,55%,3.8,5.6,31:56:00,9.6,343,444,5.7,265,168
Gangplank,49,59,19%,21,28,43%,2.4,7.5,32:59:00,8.2,631,425,2.9,373,-81
Zoe,42,63,18%,17,25,40%,5.2,5.7,33:23:00,7.9,559,379,1.2,262,52
Orianna,67,27,16%,33,34,49%,4.8,7.3,33:31:00,8.9,437,399,6.3,129,157
Braum,59,26,15%,20,39,34%,2.4,8.3,32:14:00,1.1,147,223,-0.1,-105,33
Ryze,49,33,14%,19,30,39%,3,6.3,33:04:00,9.3,393,411,3.9,138,-24
Kennen,43,35,14%,16,27,37%,2,8.7,33:24:00,7.7,507,369,-4,-204,-136
Lux,53,25,14%,29,24,55%,3.1,6.4,33:27:00,1.3,323,255,-7.7,249,95
Sett,44,24,12%,22,22,50%,2.2,7.5,32:16:00,5.4,353,329,-3,20,-130
Jax,36,31,12%,16,20,44%,1.8,8.8,32:43:00,8.4,396,399,2.6,-242,-173
Irelia,14,52,11%,9,5,64%,2.5,5.6,34:15:00,9.3,418,431,23,471,395
Trundle,50,16,11%,19,31,38%,2.8,5.2,33:34:00,4.6,248,309,-6.9,-287,-250
Hecarim,37,28,11%,18,19,49%,2.6,4.1,32:53:00,5.8,279,338,1.3,-64,-33
Lucian,30,35,11%,17,13,57%,4.1,4.7,33:25:00,9.3,527,446,13.9,383,261
Yasuo,33,30,11%,17,16,52%,2.7,6.5,32:24:00,8.5,346,411,-2.8,44,-32
Ziggs,31,30,11%,15,16,48%,4.2,5.7,34:42:00,8.6,711,412,-4.3,194,69
Talon,20,38,10%,11,9,55%,2.9,4.2,33:10:00,7,381,383,19.7,172,624
Akshan,21,36,10%,13,8,62%,4.5,5.9,34:07:00,8.2,514,416,9.5,677,237
Sylas,32,24,10%,15,17,47%,2.4,7.8,32:40:00,7.9,445,386,-7.2,-400,-60
Nidalee,20,34,9%,12,8,60%,4.1,3.4,35:00:00,6.4,505,373,8.6,855,425
Kaisa,31,17,8%,17,14,55%,4,7.6,31:34:00,8.9,562,443,-3,-130,3
Galio,26,17,7%,15,11,58%,4.1,7.9,31:13:00,6.3,333,335,-9.6,-211,-53
Poppy,23,19,7%,13,10,57%,3.1,6.1,37:44:00,5,241,306,-1.3,-84,-2
Varus,31,9,7%,10,21,32%,3.2,8.3,33:49:00,8.8,508,397,-1.8,-47,19
Malphite,16,21,6%,10,6,63%,4.3,8.8,34:14:00,6.1,389,327,-17.1,-805,-35
Gnar,30,7,6%,19,11,63%,3.4,9,32:52:00,8.3,461,392,13.7,431,219
Alistar,29,7,6%,20,9,69%,3.9,7.9,33:19:00,1,145,233,-2.8,-22,42
Samira,14,22,6%,7,7,50%,2.6,3.8,33:28:00,8.4,407,411,-4.4,165,60
Sion,26,9,6%,11,15,42%,2.5,8,32:15:00,7.2,373,348,1.3,10,313
Olaf,18,16,6%,10,8,56%,2.2,7.1,33:29:00,5.5,304,329,11.5,-22,175
Seraphine,15,19,6%,7,8,47%,5.6,4.3,31:57:00,7.6,374,364,-2.9,70,16
Xayah,18,13,5%,10,8,56%,3.6,8.2,30:34:00,9.4,574,426,4.1,160,195
Fiora,9,21,5%,6,3,67%,4.3,4.3,29:46:00,8.4,393,413,2.4,73,-204
Nami,22,7,5%,11,11,50%,3.7,6.3,33:49:00,0.5,194,240,-13.8,-117,131
Aatrox,22,5,5%,10,12,45%,2.4,8,31:59:00,7.9,452,386,8.8,279,237
Xerath,12,15,5%,5,7,42%,5.3,6.1,36:27:00,8.3,826,397,1.3,406,140
Pyke,13,13,5%,10,3,77%,3.7,6.2,32:49:00,1.7,157,299,5.2,459,85
Rell,17,9,5%,10,7,59%,2.9,8.1,31:00:00,1.1,137,231,1.4,65,74
RekSai,14,10,4%,7,7,50%,2.8,3.8,31:14:00,5.6,287,340,-4.3,137,-96
Zilean,15,5,3%,9,6,60%,5.1,6.6,34:24:00,2.9,182,262,-2.1,-131,398
Azir,10,10,3%,3,7,30%,2.8,8.6,34:02:00,8.5,590,390,2.8,-60,126
Karthus,7,12,3%,3,4,43%,3.6,3.8,33:17:00,7.8,643,396,-7.9,-589,-152
Kassadin,5,14,3%,3,2,60%,4.4,4.4,35:45:00,8.6,576,405,-4.6,-155,106
Qiyana,9,10,3%,4,5,44%,3.6,3.5,34:37:00,6.6,530,384,4.3,99,319
Yone,9,9,3%,6,3,67%,2.9,6.3,31:01:00,9.6,383,434,5.6,-26,78
Draven,5,12,3%,3,2,60%,4.5,5.2,35:12:00,8.6,479,454,25.4,1545,507
Rumble,5,12,3%,4,1,80%,4.3,6.8,31:45:00,6.8,611,381,19,918,689
Lissandra,7,9,3%,4,3,57%,2.4,8.2,31:29:00,8.1,337,357,-1.7,-346,-398
Urgot,7,9,3%,4,3,57%,2.3,6.2,34:18:00,8,411,392,9.9,394,495
Zed,7,9,3%,5,2,71%,4.7,6.2,33:25:00,7.1,505,408,3.2,785,584
Blitzcrank,12,2,2%,9,3,75%,3.5,9,32:15:00,1.1,179,251,1.9,93,-56
KhaZix,3,10,2%,3,0,100%,6.8,4.4,31:54:00,6.3,506,418,-0.5,-77,44
Vladimir,12,1,2%,7,5,58%,4,1,35:14:00,8.1,643,408,13.9,320,535
Wukong,9,4,2%,4,5,44%,2.2,8,33:41:00,6.5,389,355,-4.3,-294,54
Senna,7,5,2%,4,3,57%,3.3,4,32:17:00,6.4,392,383,-1.9,-26,191
Riven,2,9,2%,0,2,0%,1.5,3.3,36:44:00,7.9,278,353,0.5,-234,-469
Vayne,5,6,2%,1,4,20%,2.5,8.8,33:39:00,8.8,367,382,10.2,41,118
Kalista,6,5,2%,4,2,67%,7,4,32:10:00,9.6,500,474,2.8,725,75
Morgana,7,3,2%,4,3,57%,3.8,5,30:26:00,0.9,201,257,-7,464,495
Shen,3,7,2%,1,2,33%,2.2,6.7,30:42:00,6.4,318,328,-23.3,-1348,-1018
Bard,8,2,2%,4,4,50%,2.8,5.5,34:46:00,1,144,229,-2.9,59,158
Ekko,2,8,2%,0,2,0%,1.6,2.9,25:58:00,6.6,412,375,-6,782,363
Ashe,7,2,2%,2,5,29%,2.2,6.5,30:50:00,8.6,445,383,1.9,2,88
Darius,7,2,2%,4,3,57%,2.1,7,32:07:00,7.8,467,392,8.3,518,-51
Tahm Kench,5,4,2%,1,4,20%,1.2,3.3,30:09:00,6.3,323,303,-17.6,-884,-382
Sona,6,2,1%,1,5,17%,2.7,5.5,30:54:00,1.3,140,229,-13.8,-130,431
Tristana,5,3,1%,1,4,20%,1.9,9,35:49:00,9.1,332,418,5.8,716,222
Annie,1,6,1%,1,0,100%,16,4.7,25:31:00,6.4,484,373,-,-,-
Dr. Mundo,5,1,1%,4,1,80%,2.9,9,31:18:00,8.3,648,398,17,503,498
Volibear,4,2,1%,2,2,50%,2.5,8,29:53:00,6.6,424,344,-4.2,-353,-15
Sejuani,5,0,1%,2,3,40%,3.4,-,29:47:00,5.7,359,348,1.8,441,400
Sivir,4,1,1%,3,1,75%,4,9,29:13:00,9.8,411,435,2.8,-488,-231
Twitch,4,1,1%,4,0,100%,4.6,2,34:52:00,7.7,564,427,-22.8,-580,-354
Malzahar,3,1,1%,2,1,67%,5.8,7,36:18:00,7.7,533,386,-11,-195,470
Nasus,3,1,1%,2,1,67%,5.3,10,31:14:00,7.7,604,442,-9.7,-529,-362
Veigar,3,1,1%,1,2,33%,5.5,6,31:39:00,7.8,587,404,1.7,158,-383
Cassiopeia,1,2,1%,1,0,100%,9,5,27:53:00,9.5,435,450,50,1059,238
Heimerdinger,1,2,1%,0,1,0%,1,2.5,40:03:00,8.4,343,371,3,-200,436
Kayle,1,2,1%,1,0,100%,7,7,29:28:00,9,701,466,-15,135,-721
Soraka,3,0,1%,3,0,100%,12.3,-,32:33:00,3.9,191,301,-15.7,-315,-331
Taric,2,1,1%,0,2,0%,0.9,10,27:50:00,1.2,77,201,1,-32,380
Lillia,1,2,1%,0,1,0%,6,9,35:22:00,6.4,209,392,31,1922,936
Chogath,2,0,0%,0,2,0%,0.3,-,33:01:00,8,329,331,-11,-896,-742
Fiddlesticks,0,2,0%,,,,,2,0:00,,,,,,
KogMaw,1,1,0%,0,1,0%,0.7,10,24:03:00,7.3,415,319,-15,-1116,-677
Singed,2,0,0%,2,0,100%,2.2,-,34:43:00,4,242,289,1,-16,294
Vi,2,0,0%,1,1,50%,1.8,-,35:17:00,5.4,201,321,-6.5,-586,-136
VelKoz,2,0,0%,1,1,50%,8.5,-,31:38:00,8.1,572,370,4,94,220
Taliyah,2,0,0%,0,2,0%,1.7,-,35:33:00,5.4,445,313,0.5,816,151
Kled,0,2,0%,,,,,3.5,0:00,,,,,,
Fizz,1,0,0%,0,1,0%,3,-,39:17:00,7.4,312,393,-11,-889,-631
Maokai,1,0,0%,0,1,0%,0.3,-,35:52:00,1.2,153,190,4,-79,-82
Master Yi,1,0,0%,0,1,0%,1.2,-,25:40:00,4.1,291,312,-46,-2238,-1879
Miss Fortune,1,0,0%,0,1,0%,0.7,-,30:27:00,9.1,259,372,-25,-2352,-434
Mordekaiser,1,0,0%,0,1,0%,0.7,-,31:34:00,5,323,322,-16,-659,-985
Nocturne,1,0,0%,0,1,0%,2,-,34:42:00,6.1,359,339,33,631,1102
Rengar,1,0,0%,1,0,100%,2.2,-,30:24:00,7.6,506,408,11,918,296
Shaco,1,0,0%,1,0,100%,-,-,26:48:00,5,259,347,-23,-283,-174
Skarner,1,0,0%,1,0,100%,6.3,-,41:29:00,4.2,217,317,7,474,-13
Udyr,1,0,0%,0,1,0%,1.2,-,25:53:00,5.2,135,289,-,-,-
Zac,1,0,0%,1,0,100%,9,-,32:55:00,4.6,256,297,-21,-874,-993
Zyra,1,0,0%,0,1,0%,1.7,-,29:53:00,0.8,152,205,-15,-369,284
Ahri,0,0,0%,,,,,-,0:00,,,,,,
Amumu,0,0,0%,,,,,-,0:00,,,,,,
Anivia,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Evelynn,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Janna,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Yorick,0,0,0%,,,,,-,0:00,,,,,,
Kindred,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Ivern,0,0,0%,,,,,-,0:00,,,,,,
Kayn,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Zeri,0,0,0%,,,,,-,0:00,,,,,,
Renata Glasc,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,